round,sample_idx,source,prompt_len,generated_tokens,request_id
1,26,WizardLM,152,15000,batch_139700326141760_26_14151825528868884
1,27,python_code,43,15000,batch_139700326141760_27_14151825528951586
1,28,python_code,12,528,batch_139700326141760_28_14151825529018674
1,29,LongForm,11,15000,batch_139700326141760_29_14151825529082689
2,0,WizardLM,93,1318,batch_139700326141760_0_14153011670893774
2,1,LongForm,20,1439,batch_139700326141760_1_14153011671267985
2,2,python_code,47,2829,batch_139700326141760_2_14153011671356124
2,3,WizardLM,56,1211,batch_139700326141760_3_14153011671438439
2,4,python_code,38,209,batch_139700326141760_4_14153011671515455
2,5,python_code,12,5944,batch_139700326141760_5_14153011671586599
2,6,python_code,36,15000,batch_139700326141760_6_14153011671655203
2,7,python_code,43,731,batch_139700326141760_7_14153011671723650
2,8,python_code,45,15000,batch_139700326141760_8_14153011671791817
2,9,LongForm,24,5271,batch_139700326141760_9_14153011671862201
2,10,python_code,8,1083,batch_139700326141760_10_14153011671930989
2,11,LongForm,13,15000,batch_139700326141760_11_14153011671997229
2,12,python_code,22,5281,batch_139700326141760_12_14153011672069796
2,13,LongForm,11,2320,batch_139700326141760_13_14153011672137368
2,14,WizardLM,159,4156,batch_139700326141760_14_14153011672200893
2,15,python_code,7,15000,batch_139700326141760_15_14153011672285759
2,16,LongForm,7,773,batch_139700326141760_16_14153011672348701
2,17,WizardLM,263,15000,batch_139700326141760_17_14153011672410827
2,18,python_code,68,15000,batch_139700326141760_18_14153011672505550
2,19,python_code,21,15000,batch_139700326141760_19_14153011672577537
2,20,WizardLM,110,2759,batch_139700326141760_20_14153011672642875
2,21,WizardLM,109,15000,batch_139700326141760_21_14153011672716462
2,22,LongForm,25,15000,batch_139700326141760_22_14153011672789052
2,23,python_code,58,3014,batch_139700326141760_23_14153011672854565
2,24,python_code,17,711,batch_139700326141760_24_14153011672921548
2,25,python_code,21,357,batch_139700326141760_25_14153011672982760
2,26,WizardLM,189,1211,batch_139700326141760_26_14153011673045210
2,27,LongForm,14,1716,batch_139700326141760_27_14153011673128379
2,28,python_code,25,3299,batch_139700326141760_28_14153011673196398
2,29,WizardLM,187,1196,batch_139700326141760_29_14153011673262714
