round,sample_idx,source,prompt_len,generated_tokens,request_id
1,13,LongForm,18,12000,stream_140654389726512_13_14072302394382117
1,14,python_code,21,12000,stream_140654389726512_14_14072328956364954
1,15,python_code,42,12000,stream_140654389726512_15_14072356042471812
1,16,python_code,135,12000,stream_140654389726512_16_14072383404176014
1,17,python_code,15,12000,stream_140654389726512_17_14072411364224099
1,18,LongForm,91,2709,stream_140654389726512_18_14072440248468672
1,19,LongForm,8,1484,stream_140654389726512_19_14072469859394480
1,20,LongForm,15,12000,stream_140654389726512_20_14072499873224815
1,21,python_code,55,12000,stream_140654389726512_21_14072530126816500
1,22,LongForm,16,12000,stream_140654389726512_22_14072560351705315
1,23,WizardLM,78,12000,stream_140654389726512_23_14072591016976297
1,24,WizardLM,169,12000,stream_140654389726512_24_14072622196108668
1,25,LongForm,21,11796,stream_140654389726512_25_14072654252316828
1,26,python_code,43,11297,stream_140654389726512_26_14072685476515457
1,27,python_code,42,10798,stream_140654389726512_27_14072716562408852
1,28,WizardLM,277,10299,stream_140654389726512_28_14072747312775313
1,29,LongForm,16,9800,stream_140654389726512_29_14072778718203197
2,0,python_code,22,2728,stream_140654389726512_0_14073350477565712
2,1,WizardLM,94,12000,stream_140654389726512_1_14073375982253316
2,2,LongForm,138,12000,stream_140654389726512_2_14073401161644113
2,3,LongForm,10,12000,stream_140654389726512_3_14073426316072524
2,4,LongForm,109,12000,stream_140654389726512_4_14073451472929639
2,5,LongForm,463,12000,stream_140654389726512_5_14073476108784245
2,6,LongForm,185,12000,stream_140654389726512_6_14073500816529608
2,7,LongForm,10,12000,stream_140654389726512_7_14073525610363010
2,8,WizardLM,17,12000,stream_140654389726512_8_14073550439244027
2,9,WizardLM,55,1756,stream_140654389726512_9_14073575534922175
2,10,WizardLM,324,12000,stream_140654389726512_10_14073600776728890
2,11,WizardLM,111,12000,stream_140654389726512_11_14073626217639197
2,12,python_code,13,12000,stream_140654389726512_12_14073651878412733
2,13,python_code,24,12000,stream_140654389726512_13_14073677746705245
2,14,WizardLM,146,12000,stream_140654389726512_14_14073703822326808
2,15,LongForm,16,12000,stream_140654389726512_15_14073730316663122
2,16,LongForm,31,12000,stream_140654389726512_16_14073757099978034
2,17,python_code,21,12000,stream_140654389726512_17_14073784455023487
2,18,WizardLM,76,1406,stream_140654389726512_18_14073812436127653
2,19,LongForm,5,3617,stream_140654389726512_19_14073840754527063
2,20,python_code,35,12000,stream_140654389726512_20_14073869776035460
2,21,python_code,58,12000,stream_140654389726512_21_14073899339500550
2,22,LongForm,16,12000,stream_140654389726512_22_14073929341594769
2,23,LongForm,14,12000,stream_140654389726512_23_14073959513851842
2,24,WizardLM,172,12000,stream_140654389726512_24_14073990069499017
2,25,LongForm,88,11796,stream_140654389726512_25_14074022242734521
2,26,WizardLM,122,11297,stream_140654389726512_26_14074054728542449
2,27,WizardLM,129,10798,stream_140654389726512_27_14074086549103053
2,28,python_code,44,10299,stream_140654389726512_28_14074118055307385
2,29,WizardLM,46,9800,stream_140654389726512_29_14074149740096235
